player_name,team_name,stat_type,image_url,odds_type,line_score
Rickeh,Mindfreak,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,28.5
tucks,Mindfreak,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,27.5
gump,Mindfreak,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,29.5
Texta,Mindfreak,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,30
pain,Mindfreak,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,29.5
damyo,Housebets,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,30.5
apocdud,Housebets,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,30
yourwombat,Housebets,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,28
BRACE,Housebets,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,27
Omichella,Housebets,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,29
Rickeh,Mindfreak,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,13
tucks,Mindfreak,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,14.5
gump,Mindfreak,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,16.5
Texta,Mindfreak,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,13
pain,Mindfreak,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/BUwHJ8P.png,standard,11.5
damyo,Housebets,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,15.5
apocdud,Housebets,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,12
yourwombat,Housebets,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,13.5
BRACE,Housebets,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,12.5
Omichella,Housebets,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/badNewsKangaroos_jersey.png,standard,16.5
OneUn1que,L&G,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,31
kr1vda,L&G,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,28
Malkiss,L&G,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,31.5
marat2k,L&G,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,28.5
kL1o,L&G,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,29.5
b1elany,Illuminar,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,30.5
kadziu,Illuminar,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,28
Furlan,Illuminar,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,26.5
phr,Illuminar,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,28
SpavaQu,Illuminar,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,28.5
OneUn1que,L&G,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,16.5
kr1vda,L&G,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,15
Malkiss,L&G,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,8.5
marat2k,L&G,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,16.5
kL1o,L&G,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/YMbB8WL.png,standard,15
b1elany,Illuminar,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,16.5
kadziu,Illuminar,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,16
Furlan,Illuminar,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,14
phr,Illuminar,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,15
SpavaQu,Illuminar,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5WBapJu.png,standard,10.5
KRIMZ,fnatic,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,25.5
bodyy,fnatic,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,25.5
blameF,fnatic,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,33.5
MATYS,fnatic,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,33.5
nawwk,fnatic,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,31
khaN,Nemiga,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,30.5
zweih,Nemiga,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,30
1eeR,Nemiga,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,26.5
riskyb0b,Nemiga,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,29.5
Xant3r,Nemiga,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,31.5
KRIMZ,fnatic,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,11
bodyy,fnatic,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,14
blameF,fnatic,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,15
MATYS,fnatic,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,21.5
nawwk,fnatic,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/oyaxvrb.png,standard,12
khaN,Nemiga,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,10
zweih,Nemiga,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,16
1eeR,Nemiga,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,12
riskyb0b,Nemiga,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,16.5
Xant3r,Nemiga,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/uMrs0Ef.png,standard,17.5
tex1y,RushB (RU),MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/OpPSZdo.png,standard,30.5
tex1y,RushB (RU),MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/OpPSZdo.png,standard,17
Kiro,RushB (RU),MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/OpPSZdo.png,standard,29.5
Kiro,RushB (RU),MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/OpPSZdo.png,standard,13
kinqie,RushB (RU),MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/OpPSZdo.png,standard,25.5
kinqie,RushB (RU),MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/OpPSZdo.png,standard,14.5
executoR,RushB (RU),MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/OpPSZdo.png,standard,24.5
executoR,RushB (RU),MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/OpPSZdo.png,standard,11.5
rafaxF,Rhyno Esports,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,7.5
rafaxF,Rhyno Esports,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,25.5
krazy,Rhyno Esports,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,15.5
krazy,Rhyno Esports,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,31
TMKj,Rhyno Esports,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,17.5
TMKj,Rhyno Esports,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,29.5
snapy,Rhyno Esports,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,27
snapy,Rhyno Esports,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,13.5
NOPEEj,Rhyno Esports,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,27.5
NOPEEj,Rhyno Esports,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/Rhyno_jersey.png,standard,14.5
Chucky,ADEPTS,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,33
cheuuuuk,ADEPTS,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,27
Tarkky,ADEPTS,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,31.5
Oxbrandd,ADEPTS,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,29.5
prn,ADEPTS,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,27
dezt,Viperio,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,31
Skrimo,Viperio,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,30
zodi,Viperio,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,28.5
shyyne,Viperio,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,30.5
swicher,Viperio,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,28
Chucky,ADEPTS,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,13
cheuuuuk,ADEPTS,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,16.5
Tarkky,ADEPTS,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,16.5
Oxbrandd,ADEPTS,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,15.5
prn,ADEPTS,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/fxNf7mV.png,standard,15
dezt,Viperio,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,17
Skrimo,Viperio,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,15.5
zodi,Viperio,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,15.5
shyyne,Viperio,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,11.5
swicher,Viperio,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/5jH8ovD.png,standard,16
kwezz,SASHI ESPORT,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/RedRams_jersey.png,standard,28
MistR,SASHI ESPORT,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/RedRams_jersey.png,standard,14
MistR,SASHI ESPORT,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/RedRams_jersey.png,standard,27.5
Cabbi,SASHI ESPORT,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/RedRams_jersey.png,standard,18
Cabbi,SASHI ESPORT,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/RedRams_jersey.png,standard,32
Lucky,SASHI ESPORT,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/RedRams_jersey.png,standard,30
Lucky,SASHI ESPORT,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/RedRams_jersey.png,standard,14.5
IceBerg,SASHI ESPORT,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/RedRams_jersey.png,standard,27.5
IceBerg,SASHI ESPORT,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/RedRams_jersey.png,standard,15.5
H4SAN4TOR,Team Space,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/p4uKpuL.png,standard,12
H4SAN4TOR,Team Space,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/p4uKpuL.png,standard,26
X5G7V,Team Space,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/p4uKpuL.png,standard,12
X5G7V,Team Space,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/p4uKpuL.png,standard,24.5
danistzz,Team Space,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/p4uKpuL.png,standard,13
danistzz,Team Space,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/p4uKpuL.png,standard,31
TruNiQ,Team Space,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/p4uKpuL.png,standard,28
TruNiQ,Team Space,MAPS 1-2 Headshots,https://static.prizepicks.com/images/manual/p4uKpuL.png,standard,16.5
Yxngstxr,Sangal,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5YZeUUP.png,standard,28.5
LNZ,Sangal,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5YZeUUP.png,standard,28.5
SaMey,Sangal,MAPS 1-2 Kills,https://static.prizepicks.com/images/manual/5YZeUUP.png,standard,27.5
